A=4306 B=7202 C=9316 X=138867150 Y=6109396426 Z=53398749508 M=121
A=2293 B=9844 C=7186 X=437597476 Y=3107552008 Z=37785195843 M=109
A=8391 B=4752 C=5517 X=391591961 Y=1782986578 Z=57687443912 M=99
A=3150 B=9886 C=7331 X=509070632 Y=7557513294 Z=86115058228 M=59
A=3905 B=9070 C=9699 X=821130613 Y=5803618960 Z=84912599533 M=190
A=4129 B=3544 C=8537 X=691172592 Y=3274032998 Z=86447043383 M=135
A=2132 B=4525 C=7847 X=544544460 Y=2175432934 Z=38061454967 M=166
A=6806 B=9331 C=9485 X=658090098 Y=2530266975 Z=97838188659 M=64
A=3849 B=5148 C=6564 X=365059939 Y=9549487061 Z=13986938953 M=193
A=2303 B=5300 C=6758 X=723939412 Y=5077151445 Z=25913697287 M=85
A=8600 B=3295 C=5917 X=876139387 Y=8220649579 Z=12063814220 M=79
A=4595 B=9975 C=8848 X=393361136 Y=8992802647 Z=77086105087 M=104
A=9993 B=5932 C=7889 X=937020212 Y=9172165835 Z=38620992912 M=165
A=9897 B=9532 C=5214 X=998063422 Y=1598547906 Z=18029584197 M=94
A=5702 B=3868 C=7967 X=594051419 Y=4265606222 Z=37770426427 M=116
A=7082 B=8990 C=6539 X=197318300 Y=6505303754 Z=13295107561 M=177
A=8247 B=9779 C=7318 X=855807059 Y=9987088693 Z=14390179268 M=193
A=7470 B=9938 C=6035 X=663843524 Y=1293840248 Z=63915575517 M=146
A=8614 B=3767 C=5783 X=269112337 Y=3090947023 Z=21472761875 M=141
A=5376 B=3296 C=9800 X=583502738 Y=1759634713 Z=56837475099 M=168
A=4868 B=8976 C=6105 X=334566039 Y=7151262403 Z=97642701055 M=168
A=7413 B=4358 C=7303 X=115402276 Y=2431273587 Z=63794097060 M=111
A=9912 B=6991 C=7993 X=188661873 Y=3981558397 Z=85207076921 M=199
A=2643 B=4295 C=6531 X=137343016 Y=6000629659 Z=26785498254 M=190
A=2917 B=5309 C=9502 X=439695520 Y=5499569007 Z=43347378214 M=79
A=9632 B=9782 C=6709 X=680889577 Y=2609753850 Z=48420213600 M=123
A=9113 B=8798 C=6924 X=706397764 Y=9816328687 Z=54784723668 M=124
A=6074 B=7403 C=9950 X=437618521 Y=3705422063 Z=17722889765 M=198
A=7250 B=5788 C=6919 X=206266717 Y=8095642711 Z=80861901865 M=112
A=8038 B=4751 C=9184 X=933633723 Y=2400976827 Z=98969797536 M=175
A=2554 B=3815 C=9717 X=993157923 Y=2178590965 Z=38553211924 M=78
A=5234 B=7639 C=6410 X=987040294 Y=5020511386 Z=21893799732 M=71
A=5527 B=6646 C=5602 X=729996188 Y=2412712446 Z=82091511632 M=141
A=8066 B=8499 C=6023 X=352460187 Y=8342985396 Z=12467404365 M=113
A=8347 B=7980 C=7360 X=352215398 Y=6663113111 Z=49814540152 M=195
A=5452 B=3997 C=8332 X=655804618 Y=7858428538 Z=26140511711 M=99
A=3420 B=9948 C=8814 X=375123719 Y=6068223025 Z=40636364266 M=90
A=4067 B=4286 C=8623 X=480144678 Y=7968956864 Z=20462539808 M=146
A=2419 B=5485 C=9054 X=965230011 Y=7591561558 Z=40675945303 M=93
A=2904 B=4301 C=6262 X=161352601 Y=6600168623 Z=16750567983 M=179
A=4642 B=4071 C=6640 X=198633753 Y=6527749802 Z=45780687461 M=188
A=7799 B=3081 C=5633 X=740211681 Y=6575612230 Z=88976005227 M=181
A=8671 B=4433 C=6504 X=133822382 Y=4731341206 Z=16610383426 M=164
A=8157 B=9680 C=5487 X=467008515 Y=5947296567 Z=56281489681 M=93
A=3946 B=5620 C=9167 X=180876819 Y=1024487935 Z=57484356181 M=130
A=6307 B=9024 C=6023 X=976583294 Y=9103527900 Z=83841669380 M=94
A=7813 B=9989 C=8018 X=499196524 Y=3655010983 Z=46199099657 M=180
A=2512 B=6266 C=5244 X=496078500 Y=2292659106 Z=30292842567 M=113
A=7236 B=6953 C=5806 X=786106822 Y=4646331385 Z=14245913063 M=68
A=3651 B=5757 C=8632 X=463680274 Y=9559615600 Z=73302809210 M=99
A=5389 B=7749 C=5456 X=642583697 Y=9491555865 Z=72085532755 M=64
A=7401 B=5196 C=5197 X=354408691 Y=4456331936 Z=85637607413 M=61
A=3858 B=3687 C=8191 X=781571545 Y=6189987837 Z=51557392627 M=196
A=5395 B=4704 C=5415 X=185680795 Y=8739745043 Z=25624228448 M=87
A=9689 B=9670 C=7050 X=387825294 Y=1275501826 Z=25688836566 M=145
A=2993 B=5540 C=5972 X=895846588 Y=8311550895 Z=75612908421 M=156
A=9857 B=5663 C=6942 X=527705221 Y=2923344773 Z=10101257657 M=105
A=6145 B=6447 C=9790 X=297736879 Y=9887343749 Z=72711972356 M=149
A=4738 B=4080 C=9945 X=239711864 Y=9614855477 Z=13118949544 M=81
A=4159 B=9155 C=8987 X=690686262 Y=1532458553 Z=95126946584 M=194
A=3223 B=5257 C=7197 X=169741726 Y=4695715076 Z=93758467402 M=185
A=8675 B=5789 C=9095 X=409933025 Y=3842604933 Z=10511777526 M=157
A=4759 B=4072 C=9722 X=311543288 Y=8855849507 Z=92931855017 M=50
A=2562 B=3351 C=8685 X=365317677 Y=4868198272 Z=79621603495 M=67
