A=2644 B=3384 C=9340 X=289930785 Y=4004373832 Z=14985154049 M=6728
A=3853 B=8862 C=5172 X=841560288 Y=3949769764 Z=45964167312 M=2798
A=7081 B=4645 C=6753 X=358727215 Y=1073810363 Z=34858220571 M=7870
A=6979 B=5031 C=5923 X=910000148 Y=3667906059 Z=23639629579 M=7478
A=8503 B=6793 C=9933 X=143004669 Y=6210846658 Z=71328311751 M=2641
A=5641 B=6871 C=8106 X=222239486 Y=3844209149 Z=59290477892 M=1266
A=7911 B=4963 C=5561 X=276344529 Y=4280752163 Z=43351176179 M=4579
A=5537 B=5101 C=7960 X=347831931 Y=8488357339 Z=98862620938 M=1323
A=3062 B=8800 C=6181 X=406810104 Y=5209228456 Z=41184714650 M=1909
A=8162 B=9536 C=7326 X=606413558 Y=7754899773 Z=17260822234 M=6679
A=9375 B=7760 C=8547 X=691560635 Y=2125498622 Z=14928800412 M=2349
A=2880 B=3957 C=5043 X=446637173 Y=8479417224 Z=50382545290 M=3113
A=6000 B=3149 C=6491 X=252009068 Y=5193576097 Z=43919786142 M=7670
A=5031 B=8008 C=6468 X=544013530 Y=6788794880 Z=97347697042 M=3405
A=6763 B=3265 C=5435 X=230974545 Y=7421799646 Z=46534749505 M=4889
A=5662 B=4082 C=8304 X=826385973 Y=7514744875 Z=59856842445 M=2182
A=8846 B=9349 C=8081 X=885923151 Y=1367904305 Z=81394834154 M=8613
A=4369 B=8891 C=6920 X=875973693 Y=4210866790 Z=79212867309 M=2216
A=5486 B=9129 C=9697 X=365373043 Y=1244375311 Z=57837900602 M=9327
A=9058 B=4216 C=6371 X=160164273 Y=9078878976 Z=71526606459 M=1089
A=3392 B=5318 C=9349 X=929912362 Y=4191119306 Z=16905980569 M=6652
A=8783 B=7310 C=9455 X=752701481 Y=6994480792 Z=62307649704 M=1568
A=7442 B=3611 C=5764 X=411523665 Y=5850007197 Z=68646213177 M=7696
A=9327 B=6674 C=9032 X=366360955 Y=5878910444 Z=40947836813 M=1679
A=6034 B=6603 C=7167 X=847894979 Y=2593805091 Z=13414206558 M=6892
A=3696 B=5103 C=9587 X=245931405 Y=3845038988 Z=74450385307 M=5489
A=2930 B=7578 C=7876 X=327546652 Y=7085450993 Z=46325246990 M=9774
A=6110 B=6144 C=5725 X=376337310 Y=8498255468 Z=42918390024 M=9243
A=7428 B=3607 C=8880 X=925457312 Y=6754696441 Z=93131888407 M=6642
A=4884 B=8142 C=7060 X=215083326 Y=1378073651 Z=42214567062 M=6373
A=4866 B=9269 C=8159 X=168130640 Y=5604554972 Z=85913195562 M=9391
A=8123 B=9459 C=5927 X=430284958 Y=9597118918 Z=25292312868 M=2533
A=5944 B=4515 C=5301 X=431544709 Y=3552999184 Z=53160881276 M=3523
A=2085 B=8466 C=8021 X=504792482 Y=5222126946 Z=48789347689 M=9996
A=4681 B=7170 C=6820 X=220283842 Y=9444875779 Z=41627761257 M=6179
A=4407 B=4008 C=7196 X=692931956 Y=3561842355 Z=30451300960 M=8445
A=4379 B=4453 C=7351 X=104443260 Y=5829103472 Z=19359288209 M=9288
A=8826 B=5095 C=7450 X=674730178 Y=7564654991 Z=35458064194 M=9254
A=3682 B=9358 C=9733 X=229754393 Y=8876058413 Z=82559305141 M=7802
A=5757 B=9682 C=5561 X=612049282 Y=2233796988 Z=37260904398 M=1927
A=4040 B=6937 C=5941 X=985715987 Y=9796802899 Z=90780605996 M=8922
A=6068 B=9900 C=5570 X=679850609 Y=2207115510 Z=65094709308 M=3964
A=2502 B=4533 C=9698 X=206312088 Y=4478608899 Z=35065896088 M=7798
A=3543 B=8645 C=5137 X=754165622 Y=5153954922 Z=91123031169 M=1770
A=3791 B=7172 C=5941 X=768665907 Y=9017378473 Z=52004837969 M=4438
A=2735 B=5110 C=9219 X=711576249 Y=7640597391 Z=71840098901 M=6252
A=2283 B=5290 C=5207 X=425264005 Y=3755028906 Z=45414616546 M=4350
A=4799 B=5987 C=9516 X=497662276 Y=1820476275 Z=20914353724 M=2647
A=9237 B=4421 C=6006 X=752216517 Y=3373981289 Z=63191921666 M=5467
A=5735 B=8269 C=9104 X=681693293 Y=9901149900 Z=23170319925 M=7107
A=6364 B=4928 C=7580 X=852256165 Y=7231624274 Z=93946661759 M=7091
A=8299 B=4581 C=9436 X=857711304 Y=8482708792 Z=93423117637 M=5447
A=9456 B=8363 C=5592 X=477473486 Y=1702560330 Z=41351921961 M=3672
A=4332 B=8979 C=9664 X=309424290 Y=3990608069 Z=51806769512 M=2074
A=9649 B=8754 C=5789 X=951192668 Y=2767784236 Z=56376373029 M=9794
A=3888 B=3078 C=6661 X=901612332 Y=2430943036 Z=64272138343 M=7306
A=4763 B=8681 C=5714 X=981525024 Y=8834225443 Z=68669788081 M=1247
A=6849 B=8966 C=5232 X=361781576 Y=3628036746 Z=19669190696 M=5813
A=7301 B=6299 C=7145 X=684168447 Y=2490025091 Z=66979334673 M=7377
A=9393 B=9661 C=8846 X=674807596 Y=8373130856 Z=39916821319 M=4926
A=2051 B=3896 C=6349 X=215200052 Y=9402224856 Z=91262011156 M=1149
A=5550 B=9355 C=6219 X=509906783 Y=1547598373 Z=30906404583 M=6920
A=5506 B=3311 C=5123 X=442513191 Y=6357210743 Z=25820498711 M=3142
A=7600 B=9307 C=6136 X=939512491 Y=3756378178 Z=70424629557 M=1868
A=4568 B=5575 C=7669 X=896664093 Y=1696825849 Z=22416975338 M=3018
A=2603 B=4239 C=8767 X=288525455 Y=4798778064 Z=78851238511 M=1379
A=9203 B=9717 C=7769 X=606292737 Y=8908054881 Z=38380090021 M=2249
A=6516 B=4855 C=5624 X=596438641 Y=9982025546 Z=53522310134 M=9036
A=6475 B=9926 C=7647 X=113175529 Y=2946417703 Z=91526763513 M=8331
A=7657 B=6781 C=6571 X=263309348 Y=7824095633 Z=24976954262 M=2659
A=8177 B=9723 C=7304 X=557007880 Y=1419828374 Z=47172693362 M=9481
A=8758 B=3644 C=7676 X=669829549 Y=4610944468 Z=72515185083 M=6106
A=2899 B=7928 C=8537 X=238970690 Y=8928022026 Z=84749340480 M=6674
A=6385 B=6166 C=8852 X=691309289 Y=6606579280 Z=16122076599 M=5212
A=5627 B=7370 C=8898 X=498008526 Y=2406216197 Z=87980023659 M=5881
A=5988 B=9663 C=9545 X=215123104 Y=2814651212 Z=64249509592 M=4866
A=2813 B=7765 C=7823 X=375354449 Y=5482471411 Z=28085798047 M=5056
A=8799 B=3299 C=7422 X=891712843 Y=4058679499 Z=75978653274 M=4928
A=8047 B=3891 C=5828 X=758402985 Y=2817111329 Z=23838791797 M=4862
A=9492 B=9317 C=8923 X=377584645 Y=1983267714 Z=62882543741 M=4452
A=9669 B=3190 C=8604 X=901236321 Y=7356442089 Z=16856089333 M=7660
A=2349 B=5689 C=6215 X=647707298 Y=9342280504 Z=89888677862 M=3909
A=3909 B=3795 C=9358 X=646600198 Y=8107744436 Z=78573427723 M=2987
A=3380 B=7369 C=8022 X=155932584 Y=1953221114 Z=57892746917 M=7795
A=9644 B=7485 C=5321 X=801148538 Y=1435421977 Z=33576145047 M=7094
A=5491 B=6952 C=7599 X=480239837 Y=6930287178 Z=79512484355 M=3637
A=7780 B=4971 C=8700 X=276437980 Y=8412104873 Z=86832155141 M=2580
A=7993 B=9096 C=9275 X=559466254 Y=1988241993 Z=73235227659 M=5523
A=7723 B=3059 C=7543 X=178516882 Y=7653091152 Z=53275262120 M=9390
A=5508 B=9105 C=8967 X=611791986 Y=4181318320 Z=95177360753 M=3619
A=6754 B=9856 C=8559 X=235295931 Y=7054432217 Z=49386717272 M=2832
A=9010 B=3522 C=5263 X=597415053 Y=4203777957 Z=62305084253 M=4072
A=3868 B=3963 C=6019 X=949371558 Y=2214250444 Z=62561683717 M=8620
A=8310 B=8809 C=7150 X=603292988 Y=8333902390 Z=37907677900 M=5774
A=3034 B=9970 C=8092 X=340258434 Y=2644857818 Z=68390086600 M=1666
A=7081 B=5905 C=8374 X=804386879 Y=2272904551 Z=53141783255 M=2357
A=3949 B=8696 C=5551 X=643109068 Y=2146403978 Z=69177484421 M=2421
A=9445 B=4160 C=7199 X=136068443 Y=3343303345 Z=91794076672 M=6036
A=3676 B=5439 C=6958 X=564276716 Y=1323376424 Z=76299956576 M=5637
A=6928 B=6708 C=6950 X=972587431 Y=5561593100 Z=77237189109 M=2757
A=9006 B=8754 C=9488 X=354029532 Y=3901391374 Z=29222019384 M=7789
A=7941 B=8518 C=6666 X=319692436 Y=4757841453 Z=61391555849 M=2269
A=3066 B=4374 C=8513 X=423868127 Y=4545648991 Z=97135560339 M=7900
A=3265 B=5886 C=9468 X=268510289 Y=2363927782 Z=49664175694 M=8363
A=3722 B=7073 C=7952 X=122994890 Y=2364146083 Z=38829299745 M=5054
A=3132 B=6942 C=5470 X=712825098 Y=6403768386 Z=15198778027 M=2202
A=9539 B=9105 C=9293 X=787231185 Y=7248880149 Z=88616563177 M=2503
A=7792 B=8846 C=5647 X=342663841 Y=9090072050 Z=34391767458 M=4542
A=5214 B=7453 C=9180 X=316268018 Y=5728829235 Z=60342117398 M=7889
A=5740 B=9417 C=7638 X=547447015 Y=6175435547 Z=11373866499 M=4314
A=5314 B=8319 C=5867 X=622204705 Y=5038092050 Z=13400615982 M=1476
A=5889 B=3630 C=8010 X=525984932 Y=5878917729 Z=19137430243 M=7437
A=4335 B=5313 C=9153 X=874103680 Y=9581697612 Z=86754900587 M=5864
A=7339 B=6507 C=7990 X=812743256 Y=2822774753 Z=74457882543 M=8744
A=8940 B=3759 C=9692 X=542672934 Y=3139925862 Z=12524033779 M=4735
A=3922 B=7771 C=8987 X=364138461 Y=2669016953 Z=47291874303 M=9774
A=9103 B=8450 C=5840 X=619266172 Y=3218318098 Z=63077494732 M=3823
A=9190 B=7354 C=5891 X=793161525 Y=8785453231 Z=58551694862 M=1982
A=7422 B=3008 C=7242 X=474325580 Y=3707825418 Z=24488625035 M=8064
A=2341 B=7540 C=8472 X=511048154 Y=2074844675 Z=12434283673 M=3051
A=8891 B=5059 C=7555 X=871644014 Y=2297152232 Z=63675719202 M=5373
A=8888 B=9629 C=9959 X=811787331 Y=3330275473 Z=86763844692 M=9157
A=7044 B=7526 C=5763 X=525043425 Y=3652057993 Z=53268688612 M=3673
A=7477 B=4869 C=7653 X=525620123 Y=5496005008 Z=50102195293 M=7512
A=9586 B=6173 C=5756 X=791862119 Y=1090012380 Z=27313234103 M=8921
A=9789 B=4853 C=9865 X=228555245 Y=6315711397 Z=88446064250 M=7685
A=3801 B=5792 C=7449 X=303522408 Y=6688567220 Z=23249735357 M=6761
A=9094 B=9133 C=8015 X=984020495 Y=1154990058 Z=91871620776 M=8365
A=2771 B=3241 C=8297 X=604195310 Y=7682643623 Z=65630432769 M=6936
A=9841 B=6640 C=6488 X=114188484 Y=9727366211 Z=89686361920 M=3260
A=3596 B=9407 C=7284 X=356070185 Y=5674599102 Z=52370019157 M=6021
A=9317 B=7912 C=8844 X=950290012 Y=5960451886 Z=78661128534 M=9305
A=7589 B=7105 C=8444 X=250069839 Y=8359034838 Z=68285226273 M=7469
A=7111 B=6604 C=7128 X=520655090 Y=3342141900 Z=85996398831 M=8322
A=7003 B=8670 C=8197 X=658620667 Y=2699754093 Z=79473317250 M=6057
A=9668 B=9110 C=9223 X=438829485 Y=2267822605 Z=52065991744 M=3599
A=6757 B=3688 C=9276 X=923457195 Y=3995586372 Z=32757873506 M=4282
A=2916 B=6312 C=6097 X=425462019 Y=1410972362 Z=22151635732 M=5835
A=9062 B=3651 C=9988 X=592231589 Y=5342056186 Z=58191995189 M=5848
A=3520 B=6790 C=7918 X=577678857 Y=8951246720 Z=20980526675 M=9034
A=7884 B=7827 C=7897 X=471296874 Y=6124277771 Z=49522787844 M=6745
A=2086 B=6678 C=5830 X=737764292 Y=5536349801 Z=80239038260 M=1064
A=2199 B=4315 C=8662 X=365678526 Y=8959424627 Z=73103422133 M=7010
A=7637 B=9648 C=7278 X=317481049 Y=2745725716 Z=86893243292 M=5152
A=5675 B=3168 C=9445 X=316528900 Y=5662565684 Z=86399407991 M=1208
A=5650 B=6016 C=7901 X=576351657 Y=3131382463 Z=44397815369 M=4367
A=2081 B=5651 C=6187 X=774579504 Y=7791387234 Z=83892098239 M=5839
A=6269 B=7967 C=9314 X=808323021 Y=6276141660 Z=93775079862 M=8156
A=2174 B=6104 C=6797 X=955864148 Y=5564918436 Z=13619130820 M=1046
A=4178 B=4500 C=6634 X=814530824 Y=7178023364 Z=65403141641 M=6749
A=5656 B=9958 C=7598 X=665450828 Y=5735103086 Z=49285303061 M=8444
A=5418 B=3326 C=7737 X=304565263 Y=8196554132 Z=90919438954 M=2480
A=7281 B=7320 C=8010 X=619385018 Y=8292166416 Z=48747965384 M=3878
A=8974 B=3530 C=9641 X=847180615 Y=5290081398 Z=72863153637 M=2983
A=4682 B=3426 C=5097 X=780049120 Y=5781042208 Z=55085473879 M=3931
A=9550 B=3992 C=8448 X=473431228 Y=4093153308 Z=31571048293 M=8745
A=6481 B=8696 C=5040 X=685191144 Y=5747964687 Z=36125785368 M=6583
A=9967 B=8942 C=9746 X=779839238 Y=5323873923 Z=66711403733 M=8913
A=9239 B=4438 C=9106 X=754308194 Y=1251982715 Z=19183407204 M=4468
A=8997 B=4943 C=7371 X=131423675 Y=1345276052 Z=21268453102 M=1606
A=4858 B=6094 C=9666 X=288864432 Y=1363799282 Z=92275807693 M=6228
A=6706 B=5469 C=8446 X=309409296 Y=4687386816 Z=72504466136 M=3892
A=3833 B=8687 C=9495 X=407515353 Y=2902113692 Z=10043528926 M=5731
A=8070 B=5158 C=6732 X=995362117 Y=1966837402 Z=78293977328 M=5295
A=2581 B=9599 C=6018 X=929449820 Y=2200465407 Z=65193740822 M=2668
A=2321 B=8295 C=8061 X=692434087 Y=7520258579 Z=18309211996 M=8841
A=2594 B=9297 C=6171 X=961860866 Y=9332220388 Z=29420983807 M=7798
A=8167 B=3560 C=8231 X=594554520 Y=7930710997 Z=22400612194 M=5848
A=9710 B=6446 C=7957 X=340002058 Y=4025863350 Z=67007657229 M=4410
A=3864 B=4677 C=5493 X=994220751 Y=1633984060 Z=43169867541 M=3306
A=4427 B=3669 C=7294 X=815527292 Y=2858990237 Z=67973917667 M=8317
A=6425 B=8771 C=8365 X=724950787 Y=9059864789 Z=65422234445 M=2477
A=5675 B=5118 C=8143 X=374915417 Y=5825294770 Z=50651027841 M=6672
A=2352 B=7439 C=9896 X=219216229 Y=9478964640 Z=66657812109 M=2909
A=9631 B=9893 C=6810 X=714646508 Y=6085342818 Z=64909052031 M=4018
A=3071 B=9303 C=6919 X=329738228 Y=1461245945 Z=65533495357 M=1926
A=2044 B=8233 C=5325 X=606190389 Y=4186326550 Z=38913114729 M=1989
A=6416 B=3634 C=9888 X=208765124 Y=1840477692 Z=39459334620 M=8351
A=3892 B=4762 C=7146 X=279718328 Y=7858367161 Z=42594510905 M=6832
A=3687 B=9686 C=5265 X=139036925 Y=2543269048 Z=65679232103 M=6497
A=5227 B=9285 C=6440 X=762242277 Y=2481630852 Z=85001255267 M=6335
A=3483 B=5822 C=7488 X=286382113 Y=5157636592 Z=65438742211 M=9867
A=9230 B=6619 C=7603 X=866505496 Y=4641821598 Z=24214780444 M=1536
A=9495 B=7645 C=7599 X=993173362 Y=7808428906 Z=34344889148 M=9012
A=5737 B=3759 C=8210 X=186134557 Y=1650395779 Z=83042961965 M=1945
A=5179 B=6352 C=7313 X=310040966 Y=5683359535 Z=61597789554 M=6401
A=9688 B=5086 C=9137 X=688879719 Y=5309875328 Z=29143532203 M=1093
A=7403 B=9075 C=7603 X=203881247 Y=6016040804 Z=20226625934 M=4452
A=7677 B=5650 C=7862 X=318993783 Y=4737604496 Z=70713348426 M=8863
A=4440 B=4837 C=7232 X=456420067 Y=6580599033 Z=71803506453 M=5201
A=8771 B=8113 C=5008 X=593925085 Y=7169558056 Z=35666852623 M=8860
A=8414 B=8670 C=8046 X=432769457 Y=5305462501 Z=83236490772 M=8847
A=7561 B=3871 C=8055 X=917652099 Y=4690987632 Z=99212588546 M=5498
A=9390 B=9535 C=5236 X=809547911 Y=7356452961 Z=23287214810 M=6503
A=5432 B=9295 C=8442 X=964392691 Y=6541213565 Z=55250478438 M=7375
A=4858 B=5580 C=5770 X=679489806 Y=4209387147 Z=77095169903 M=6817
A=7741 B=8515 C=7815 X=314386318 Y=5574393529 Z=91531763562 M=7177
A=2274 B=3369 C=9598 X=591404453 Y=5331087938 Z=47525005816 M=4200
A=6489 B=5451 C=9252 X=132080752 Y=1920912795 Z=72485770422 M=6488
A=8272 B=9219 C=5273 X=723859798 Y=5119270484 Z=95304572190 M=1204
A=3303 B=8066 C=6344 X=755351676 Y=3164118954 Z=33032649749 M=8139
A=6206 B=8878 C=9461 X=377870362 Y=3677860490 Z=77209175034 M=7545
A=9530 B=6858 C=9323 X=680414920 Y=8808452858 Z=53518291920 M=8397
A=2892 B=7948 C=5680 X=157070516 Y=5184419299 Z=61200749377 M=7759
A=7871 B=5161 C=9900 X=424547092 Y=3288478823 Z=19839895467 M=7989
A=8442 B=8277 C=5346 X=859869543 Y=3374655444 Z=67533590769 M=2127
A=9058 B=4928 C=5120 X=821236398 Y=2297124102 Z=94204183945 M=3335
A=6228 B=5315 C=6437 X=342673347 Y=2694229221 Z=39622846024 M=9529
A=8851 B=9770 C=8020 X=169684281 Y=7888492503 Z=39450242845 M=5898
A=6624 B=8511 C=5297 X=814073396 Y=1424111290 Z=73271867992 M=9682
A=8186 B=5906 C=6270 X=544911039 Y=2944472216 Z=74642590405 M=4862
A=2343 B=3548 C=9233 X=596188667 Y=6654142754 Z=27774733638 M=3193
A=2986 B=4126 C=6606 X=889651950 Y=5558928008 Z=79171260520 M=7522
A=2954 B=3658 C=6932 X=248469355 Y=2388773802 Z=80698308460 M=8851
A=4505 B=9182 C=9274 X=561274244 Y=9313083753 Z=27071761784 M=5160
A=2131 B=4228 C=5052 X=255197151 Y=2429400942 Z=77271127731 M=5829
A=3242 B=4396 C=7897 X=814474136 Y=2567127554 Z=56100914259 M=8694
A=5233 B=3658 C=5778 X=600610564 Y=3551247955 Z=10061706071 M=2062
A=7924 B=8936 C=9365 X=723248860 Y=3747490211 Z=68948938133 M=8408
A=4126 B=3437 C=5258 X=463259385 Y=9135226627 Z=91065987917 M=1202
A=5811 B=3064 C=9322 X=948159396 Y=3921825811 Z=77799793100 M=8800
A=5393 B=9785 C=9825 X=432740617 Y=2449540350 Z=56224651107 M=7679
A=6865 B=7070 C=6884 X=855522106 Y=9022236695 Z=88167052563 M=4355
A=7899 B=5816 C=8769 X=753233293 Y=2593038543 Z=82932247212 M=9500
A=9764 B=7744 C=9327 X=651156348 Y=6109501843 Z=84833236730 M=1090
A=3947 B=9726 C=6263 X=535351616 Y=3195526641 Z=78244727728 M=9872
A=7093 B=7936 C=9474 X=969401095 Y=3501215036 Z=18535084975 M=2540
A=6393 B=4030 C=7062 X=545273616 Y=6584738087 Z=60465045704 M=2515
A=8033 B=4387 C=9280 X=578033638 Y=6304423989 Z=93712644237 M=2371
A=5483 B=9665 C=5258 X=567141738 Y=2644417646 Z=72355870182 M=9450
A=8564 B=3539 C=7296 X=113528823 Y=4911221859 Z=11221845854 M=9787
A=4264 B=3560 C=9935 X=941049633 Y=6322682703 Z=72316520138 M=8160
A=3613 B=6374 C=7637 X=367046845 Y=4547314916 Z=47042139294 M=9193
A=9698 B=7778 C=7315 X=500120857 Y=2263267147 Z=84082508577 M=7695
A=8941 B=4647 C=6325 X=280141971 Y=6050678022 Z=88640274006 M=6611
A=3512 B=5778 C=7150 X=183606873 Y=9612861567 Z=62232739428 M=6627
A=6255 B=4751 C=8402 X=146245713 Y=7950389551 Z=93247969219 M=5408
A=3638 B=8002 C=9240 X=961809014 Y=5018063955 Z=61060056196 M=6594
A=3582 B=9742 C=6703 X=220906528 Y=8652709021 Z=80869938880 M=7493
A=5388 B=4958 C=6122 X=720779789 Y=6949752789 Z=95021801564 M=7703
A=3399 B=3280 C=8320 X=805491042 Y=5506162211 Z=40586343604 M=8774
A=5006 B=9267 C=9214 X=803099065 Y=2868171057 Z=41041966871 M=7524
A=8140 B=4714 C=9168 X=959278145 Y=6660469356 Z=87003322262 M=1682
A=5497 B=7861 C=5312 X=864473861 Y=9581384103 Z=67716872196 M=2274
A=9887 B=6749 C=6800 X=233809605 Y=7045547638 Z=38261136455 M=9593
A=5861 B=9075 C=7134 X=990824160 Y=6758708478 Z=75378458905 M=2512
A=7893 B=4935 C=6898 X=181465599 Y=3863741445 Z=86909773822 M=1352
A=6714 B=9070 C=8912 X=951377668 Y=1427526624 Z=69113773878 M=8518
A=6962 B=8637 C=7166 X=162359653 Y=3393418240 Z=73362946303 M=3394
A=5971 B=3542 C=5757 X=909624015 Y=6272474767 Z=11559064395 M=5459
A=8930 B=3001 C=8451 X=640592869 Y=7826628328 Z=23395428689 M=2760
A=3334 B=6642 C=5301 X=459642775 Y=1281120735 Z=44311094823 M=7749
A=6323 B=9408 C=9916 X=581368327 Y=3150048387 Z=23007721575 M=4954
A=5041 B=5436 C=6643 X=164397245 Y=9019444873 Z=30502305584 M=5137
A=8927 B=5693 C=9707 X=887384019 Y=3741600286 Z=87091274287 M=3414
A=6388 B=7766 C=5480 X=483062628 Y=4121735296 Z=68040561022 M=4671
A=2581 B=6049 C=6481 X=775749852 Y=7496624054 Z=78169546362 M=6943
A=6895 B=6607 C=6804 X=920703327 Y=4761814411 Z=39353008930 M=7801
A=5672 B=4073 C=8056 X=986896319 Y=5172427345 Z=92064055106 M=2020
A=8180 B=4470 C=9004 X=478130598 Y=7400615321 Z=38616592677 M=9202
A=3666 B=9894 C=9356 X=273023469 Y=8704963842 Z=76539943275 M=9082
A=4310 B=8861 C=8983 X=467096341 Y=6572408719 Z=46525458212 M=8799
A=2489 B=3219 C=8446 X=950590278 Y=8966547586 Z=71936799122 M=4588
A=4023 B=5626 C=5289 X=737975699 Y=4662326398 Z=23163247952 M=4299
A=3953 B=4235 C=7101 X=115273179 Y=4940382412 Z=37288600897 M=6277
A=8593 B=5880 C=5920 X=668479003 Y=4478959560 Z=60806566710 M=1627
A=6430 B=7954 C=9317 X=217706955 Y=3754668315 Z=72408235515 M=7115
A=2993 B=4105 C=9348 X=174734484 Y=6994094604 Z=12560081452 M=8717
A=9885 B=9891 C=5505 X=249487240 Y=4989738743 Z=30359439271 M=8221
A=4163 B=4875 C=7268 X=836747169 Y=2385507715 Z=26199367503 M=1673
A=8804 B=6496 C=5031 X=240598678 Y=5735443624 Z=44340226636 M=1032
A=8765 B=9819 C=6165 X=915240885 Y=6109174712 Z=22422575584 M=6535
A=3592 B=3367 C=7367 X=808500803 Y=3606214013 Z=15319508918 M=6067
A=7511 B=8030 C=8757 X=746504754 Y=9626350344 Z=59150492236 M=7239
A=7603 B=5050 C=9933 X=489089223 Y=6565915537 Z=50610470678 M=9761
A=5421 B=9641 C=8248 X=818687095 Y=9983134119 Z=71069399956 M=7485
A=3480 B=9616 C=6744 X=822489919 Y=1164582745 Z=68094870608 M=7222
A=5109 B=3306 C=6280 X=291058464 Y=5980744681 Z=64441725601 M=9372
A=4185 B=6299 C=6796 X=516400073 Y=1970328816 Z=15579834087 M=4726
A=2683 B=3070 C=8277 X=301739556 Y=2857057313 Z=78505176541 M=6679
A=7134 B=6038 C=6655 X=437868503 Y=2428886417 Z=30801900029 M=4328
A=2548 B=6920 C=8034 X=116300200 Y=3113130291 Z=71363445089 M=5747
